序号,MySQL中ID,链接,创建日期,最近更新,类型,状态,严重性,版本,操作系统,CPU架构,摘要
387,110717,https://bugs.mysql.com/bug.php?id=110717,2023-04-18 15:17:00,2023-09-13 13:01:00,Connector / NET,Closed(749 days),S2,8.0.33,Windows (10),Any,Opening two MySqlConnections simultaneously can crash
388,110673,https://bugs.mysql.com/bug.php?id=110673,2023-04-13 00:42:00,2025-03-03 16:34:00,MySQL Server: Group Replication,Closed(357 days),S3,"all, 8.0",Any,Any,Optimize the garbage_collect of group_replication
389,110672,https://bugs.mysql.com/bug.php?id=110672,2023-04-12 21:23:00,2023-04-18 16:02:00,MySQL Server: DML,Closed(889 days),S2,8.0.32,Any,Any,QUOTE function doesn't work as expected on tables that are utf16
390,110658,https://bugs.mysql.com/bug.php?id=110658,2023-04-11 16:37:00,2023-04-28 22:32:00,MySQL Server: C API (client library),Closed(879 days),S2,8.0.32,Any,Any,mysql_binlog_xxx() symbols are not exported in lybmysqlclient.so
391,110652,https://bugs.mysql.com/bug.php?id=110652,2023-04-11 07:58:00,2024-02-23 18:19:00,MySQL Server: InnoDB storage engine,Closed(578 days),S2,8.0.28,Any,Any,InnoDB：trx hangs due to wrong trx->in_innodb value
392,110638,https://bugs.mysql.com/bug.php?id=110638,2023-04-08 01:19:00,2023-04-08 01:55:00,MySQL Router,Closed(899 days),S2,,Any,Any,MySQL Router sources are not available
393,110629,https://bugs.mysql.com/bug.php?id=110629,2023-04-06 16:40:00,2023-07-20 22:15:00,MySQL Server: Security: Audit,Closed(796 days),S3,5.7,Any,Any,Contribution: mysql 5.7 audit plugin add examined_row_count/affected_row_co ...
394,110628,https://bugs.mysql.com/bug.php?id=110628,2023-04-06 16:40:00,2023-07-20 22:11:00,MySQL Server: Security: Audit,Closed(796 days),S3,8.0,Any,Any,Contribution: mysql 8.0 audit plugin add examined_row_count/affected_row_co ...
395,110627,https://bugs.mysql.com/bug.php?id=110627,2023-04-06 14:32:00,2023-04-06 14:54:00,Tests: System,Closed(901 days),S3,,Any,Any,DEV1: Browse Items > Context search > 7 duplicate values for same item & org
396,110626,https://bugs.mysql.com/bug.php?id=110626,2023-04-06 13:29:00,2023-04-06 13:55:00,MySQL Server: InnoDB storage engine,Closed(901 days),S5,8.0,Any,Any,remove unused code for innodb simulated-aio systerm
397,110586,https://bugs.mysql.com/bug.php?id=110586,2023-04-03 06:42:00,2024-10-04 21:50:00,Connector / J,Closed(354 days),S3,8.0.32,Any,Any,got unexpected result when the data type was set to ZEROFILL
398,110577,https://bugs.mysql.com/bug.php?id=110577,2023-03-31 09:35:00,2023-08-08 21:01:00,MySQL Server: DDL,Closed(777 days),S3,8.0.32,Ubuntu (22.04),x86 (x86_64),Missing year function?
399,110569,https://bugs.mysql.com/bug.php?id=110569,2023-03-30 12:53:00,2024-01-08 11:29:00,MySQL Server: Clone Plugin,Closed(624 days),S3,8.0,Any,Any,"Contribution by Tencent: Clone plugin sometimes failed, errno 22"
400,110559,https://bugs.mysql.com/bug.php?id=110559,2023-03-30 06:22:00,2023-03-30 06:50:00,MySQL Server: Errors,Closed(908 days),S3,8.0.28,Any,Any,Syntax error when we use rank as alias
401,110557,https://bugs.mysql.com/bug.php?id=110557,2023-03-30 03:20:00,2024-07-02 19:20:00,MySQL Server: FULLTEXT search,Closed(517 days),S3,"8.0.28, 8.0.32",Linux,Any,"When  innodb_disable_sort_file_cache=ON, create a full-text index will fail"
402,110555,https://bugs.mysql.com/bug.php?id=110555,2023-03-29 22:22:00,2024-01-17 17:33:00,MySQL Server: Performance Schema,Closed(673 days),S3,8.0.32,Any,Any,Some performance schema tables return invalid rows
403,110553,https://bugs.mysql.com/bug.php?id=110553,2023-03-29 18:17:00,2024-12-19 01:29:00,Connector / NET,Closed(278 days),S3,,Any,Any,Contribution: Run inserts in batch command as one block
404,110549,https://bugs.mysql.com/bug.php?id=110549,2023-03-29 12:12:00,2023-05-09 11:02:00,Shell Upgrade Checker,Closed(868 days),S3,8.0.32,Any,Any,mysql shell ignoring some CLI arguments passed to it on upgrade check utility
405,110535,https://bugs.mysql.com/bug.php?id=110535,2023-03-28 22:41:00,2023-10-10 09:17:00,MySQL Server: SYS Schema,Closed(715 days),S3,"8.0.31, 8.0.32",CentOS (7.9),x86 (E5-2678 V3),Mysql instance cannot be initialized correctly because autocommit is turned off.
406,110518,https://bugs.mysql.com/bug.php?id=110518,2023-03-27 23:53:00,2023-12-23 13:54:00,MySQL Server: Group Replication,Closed(640 days),S3,"all, 8.0",Any,Any,Memory leak possible
407,110512,https://bugs.mysql.com/bug.php?id=110512,2023-03-27 14:19:00,2024-07-01 17:22:00,Connector / J,Closed(532 days),S3,8.0,Any,Any,Contribution: Replace synchronized with ReentrantLock
408,110494,https://bugs.mysql.com/bug.php?id=110494,2023-03-24 13:04:00,2024-07-02 17:44:00,MySQL Server: DML,Closed(859 days),S2,8.0,Any,Any,"Deadlock between FLUSH STATUS, COM_CHANGE_USER and SELECT FROM I_S.PROCESSLIST"
409,110462,https://bugs.mysql.com/bug.php?id=110462,2023-03-22 10:40:00,2023-04-26 17:30:00,MySQL Server: mysqldump Command-line Client,Closed(881 days),S3,8.0.32,Ubuntu (22.04),x86 (x86_64),Mysqldump table with virtual column wrong syntax
410,110456,https://bugs.mysql.com/bug.php?id=110456,2023-03-21 15:15:00,2023-03-27 12:22:00,MySQL Workbench,Closed(911 days),S3,8.0.32,Windows (10),Any,ERROR WHILE LOADING IMAGE: SEARCH_SIDEBAR.PNG
411,110452,https://bugs.mysql.com/bug.php?id=110452,2023-03-21 12:29:00,2023-05-12 16:50:00,MySQL Server: mysqldump Command-line Client,Closed(865 days),S3,8.0.32,Ubuntu (22.04),x86 (x86_64),mysqldump SEGV
412,110422,https://bugs.mysql.com/bug.php?id=110422,2023-03-18 12:05:00,2023-06-23 20:13:00,Connector / Python,Closed(823 days),S2,8.0.32,Debian,Any,Connector/Python throws UnicodeDecodeError on cursor.execute()
413,110402,https://bugs.mysql.com/bug.php?id=110402,2023-03-16 21:04:00,2024-07-18 23:13:00,MySQL Server: InnoDB storage engine,Closed(432 days),S5,8.0,Any,Any,The parallel tablespace scan in 8.0 doesn't work as expected
414,110353,https://bugs.mysql.com/bug.php?id=110353,2023-03-14 03:04:00,2023-03-14 07:06:00,Connector / J,Closed(924 days),S3,8.0.32,Any,Any,got unexpected result when inserting duplicate records
415,110352,https://bugs.mysql.com/bug.php?id=110352,2023-03-14 01:31:00,2023-06-08 16:32:00,Shell Dump & Load,Closed(838 days),S2,8.0.32,CentOS (CentOS Linux release 7.9.2009 (Core)),x86,mysqlsh produces wrong dump in case of complex primary key
416,110286,https://bugs.mysql.com/bug.php?id=110286,2023-03-06 23:31:00,2024-04-05 18:07:00,Connector / J,Closed(536 days),S3,8.0,Any,Any,Contribution: Only call Messages.getString(...) when it\'s needed (when the ...
417,110254,https://bugs.mysql.com/bug.php?id=110254,2023-03-01 15:43:00,2023-08-24 20:08:00,MySQL Server: Security: Privileges,Closed(778 days),S3,8.0,Any,Any,Equality operator needs to be updated after LWG-3865
418,110251,https://bugs.mysql.com/bug.php?id=110251,2023-03-01 12:10:00,2024-07-02 17:43:00,MySQL Server: Errors,Closed(880 days),S3,Ver 8.0,Any,Any,change  information  about   get_lock  error message
419,110216,https://bugs.mysql.com/bug.php?id=110216,2023-02-27 06:04:00,2023-04-21 09:01:00,MySQL Server: Compiling,Closed(935 days),S3,8.0.32,Debian,Any,failed to compile in static mode
420,110212,https://bugs.mysql.com/bug.php?id=110212,2023-02-24 19:15:00,2023-03-03 22:04:00,MySQL Operator,Closed(935 days),S3,,Any,Any,Helm chart cannot use router.podSpec if using tls.useSelfSigned
421,110161,https://bugs.mysql.com/bug.php?id=110161,2023-02-22 06:33:00,2023-08-24 06:06:00,MySQL Router,Closed(766 days),S2,8.0.32,Linux,x86,Old clients (non-ssl) cannot connect through MySQL Router
422,110141,https://bugs.mysql.com/bug.php?id=110141,2023-02-20 14:55:00,2023-06-27 11:43:00,Shell General / Core Client,Closed(838 days),S2,8.0.32,Any,Any,mysqlsh: unknown option --loose-default-character-set
423,110076,https://bugs.mysql.com/bug.php?id=110076,2023-02-15 10:58:00,2024-02-27 17:17:00,MySQL Server: Optimizer,Closed(628 days),S3,8.0.32,Any,Any,VALUES Statement with dependent subquery is wrong
424,110033,https://bugs.mysql.com/bug.php?id=110033,2023-02-10 17:34:00,2023-02-15 12:08:00,MySQL Server: Installing,Closed(951 days),S3,,Other (FreeBSD),Any,No FreeBSD binary?
425,109996,https://bugs.mysql.com/bug.php?id=109996,2023-02-09 04:31:00,2023-04-06 17:50:00,MySQL Server: Packaging,Closed(901 days),S3,8.0.32,Ubuntu (Ubuntu 22.04),x86,There is no local IP address matching the one configured for the local node
426,109972,https://bugs.mysql.com/bug.php?id=109972,2023-02-07 20:58:00,2023-05-11 10:44:00,MySQL Server: Command-line Clients,Closed(866 days),S3,8.0,Any,Any,Contribution: client/mysql: enable comments by default
427,109935,https://bugs.mysql.com/bug.php?id=109935,2023-02-04 14:13:00,2024-04-11 10:20:00,MySQL Server: Optimizer,Closed(530 days),S3,8.0,Any,Any,Aggregate function max and min can't get right result .
428,109909,https://bugs.mysql.com/bug.php?id=109909,2023-02-02 18:53:00,2023-04-21 08:12:00,MySQL Server: Document Store: MySQL Shell,Closed(944 days),S3,8.0,Any,Any,Contribution: Add antlr4 runtime to INSTALL doc
429,109873,https://bugs.mysql.com/bug.php?id=109873,2023-02-01 12:01:00,2023-04-21 09:10:00,MySQL Server: InnoDB storage engine,Closed(886 days),S5,8.0.32,Any,Any,no need to maintain err in buf_page_init_for_read
430,109864,https://bugs.mysql.com/bug.php?id=109864,2023-01-31 17:23:00,2023-03-27 08:21:00,Connector / J,Closed(911 days),S2,8.0.32,Any,Any,Connector/J 8.0.32 hangs on MySQL 5.5 with prepared statements
431,109827,https://bugs.mysql.com/bug.php?id=109827,2023-01-27 21:45:00,2023-06-09 15:34:00,Shell Upgrade Checker,Closed(837 days),S3,8.0.32,Ubuntu (22.04.1),x86 (2 cores Intel(R) Xeon(R) Platinum 8160 CPU @ 2.10GHz),Mysqlsh doesn't read socket from cnf if I provide any arg on the command line
432,109808,https://bugs.mysql.com/bug.php?id=109808,2023-01-27 05:20:00,2023-03-24 21:04:00,Connector / J,Closed(914 days),S3,8.0.32,Any,Any,DatabaseMetaData#getPrimaryKeys should ordered by COLUMN_NAME
433,109807,https://bugs.mysql.com/bug.php?id=109807,2023-01-27 05:05:00,2023-03-23 18:15:00,Connector / J,Closed(915 days),S3,8.0.32,Any,Any,DatabaseMetaData#getTypeInfo should ordered by DATA_TYPE
434,109752,https://bugs.mysql.com/bug.php?id=109752,2023-01-24 09:34:00,2023-01-25 13:23:00,Connector / NET,Closed(972 days),S2,8.0.32,Any,Any,mysql net Connector Nuget Package
435,109746,https://bugs.mysql.com/bug.php?id=109746,2023-01-23 16:25:00,2023-04-21 08:38:00,MySQL Operator,Closed(957 days),S3,,Any,Any,Contribution: Add option to disable lookups for mysql-operator
436,109725,https://bugs.mysql.com/bug.php?id=109725,2023-01-20 18:46:00,2023-02-23 21:43:00,MySQL Server: Optimizer,Closed(943 days),S2,8.0.32,Any,Any,Wrong result for AVG() OVER(ROWS BETWEEN 1 FOLLOWING AND UNBOUNDED FOLLOWING)
437,109711,https://bugs.mysql.com/bug.php?id=109711,2023-01-19 20:24:00,2023-03-06 20:58:00,MySQL Server: Command-line Clients,Closed(932 days),S3,"8.0.31, 8.0.32",Any,Any,mysqlimport doesn't escape reserved-word table names when used with --delete
438,109699,https://bugs.mysql.com/bug.php?id=109699,2023-01-19 10:34:00,2023-06-12 09:59:00,MySQL Server: Optimizer,Closed(964 days),S2,8.0.32,Any,Any,utf8mb4 identifiers stopped working since 8.0.32 release
439,109685,https://bugs.mysql.com/bug.php?id=109685,2023-01-18 15:18:00,2023-02-27 10:09:00,MySQL Server: Command-line Clients,Closed(945 days),S2,8.0.32,CentOS (7.9),x86,mysqldump has incompatibile change in MySQL 8.0.32
440,109683,https://bugs.mysql.com/bug.php?id=109683,2023-01-18 14:28:00,2023-03-06 17:13:00,Connector / NET,Closed(932 days),S2,8.0.32,Any,Any,MySqlCommand.LastInsertedId is incorrect if multiple rows are inserted
441,109682,https://bugs.mysql.com/bug.php?id=109682,2023-01-18 13:59:00,2023-06-07 14:06:00,Connector / NET,Closed(839 days),S3,8.0.32,Any,Any,MySqlParameter.Clone loses specific MySqlDbType
442,109671,https://bugs.mysql.com/bug.php?id=109671,2023-01-18 09:08:00,2024-05-30 12:24:00,MySQL Workbench,Closed(907 days),S1,8.0.32,MacOS (Ventura),"Any (M1, x86)",Crash after a select
443,109670,https://bugs.mysql.com/bug.php?id=109670,2023-01-18 06:37:00,2023-03-07 01:58:00,Connector / NET,Closed(935 days),S2,8.0.32,"Windows (10, 11)",Other (x64),Many MSB3246 errors when referencing MySql.Data 8.0.32
444,109651,https://bugs.mysql.com/bug.php?id=109651,2023-01-16 13:49:00,2023-02-23 10:14:00,Connector / Python,Closed(949 days),S2,8.0.31,Linux,x86,mysql-connector-python binary conversion problem with NO_BACKSLASH_ESCAPES mode
445,109595,https://bugs.mysql.com/bug.php?id=109595,2023-01-11 21:56:00,2023-11-09 05:37:00,MySQL Server: Optimizer,Closed(712 days),S5,8.0.31,Linux,Any,records_in_range does too many disk reads
446,109576,https://bugs.mysql.com/bug.php?id=109576,2023-01-10 21:48:00,2023-01-12 15:04:00,MySQL Server: Security: Privileges,Closed(985 days),S3,8.0,Any,Any,Contribution: Fix scramble algorithm docs
447,109548,https://bugs.mysql.com/bug.php?id=109548,2023-01-09 07:55:00,2023-12-20 12:33:00,MySQL Server: DML,Closed(643 days),S5,"8.0.13,8.0.31",Any,Any,Poor performance when using HASH field to check unique
448,109546,https://bugs.mysql.com/bug.php?id=109546,2023-01-07 00:01:00,2023-12-15 22:00:00,Connector / J,Closed(648 days),S3,"8.0.30, 8.0.27, 8.0.31",Any,Any,executeUpdate throws SQLException on queries that are only comments
449,109539,https://bugs.mysql.com/bug.php?id=109539,2023-01-05 06:09:00,2024-05-20 10:00:00,MySQL Server: InnoDB storage engine,Closed(557 days),S5,8.0,Any,Any,Performance of scanning data_lock_waits worse than expected with read-only trx
450,109523,https://bugs.mysql.com/bug.php?id=109523,2023-01-04 00:01:00,2023-01-05 05:19:00,MySQL Websites: forums.mysql.com,Closed(992 days),S3,,Any,Any,Is there an admin for forums.mysql.com NDB clusters?
451,109485,https://bugs.mysql.com/bug.php?id=109485,2022-12-27 00:34:00,2023-04-21 08:37:00,MySQL Server: Replication,Closed(972 days),S2,5.7.40,Any,Any,Contribution by Tencent: Previous_gtids miss gtid when binlog_order_commits off
452,109466,https://bugs.mysql.com/bug.php?id=109466,2022-12-22 08:22:00,2024-12-20 22:44:00,Connector / ODBC,Closed(277 days),S3,"8.3, 8.4, 9.0",Windows,Any,A SQLProcedureColumns followed by a SQLFreeStmt causes a crash
453,109443,https://bugs.mysql.com/bug.php?id=109443,2022-12-21 04:24:00,2025-01-30 21:22:00,MySQL Server: Storage Engine API,Closed(236 days),S3,8.0.31,Any,Any,Handlerton method get_tablespace is unused
454,109439,https://bugs.mysql.com/bug.php?id=109439,2022-12-20 15:28:00,2023-01-31 16:52:00,MySQL Router,Closed(966 days),S2,"8.0.29, 8.0.30, 8.0.31",Windows,x86,Significant performance overhead on MySQL router 8.0.29 and after
455,109419,https://bugs.mysql.com/bug.php?id=109419,2022-12-17 22:31:00,2023-03-24 19:36:00,MySQL Operator,Closed(914 days),S3,8.0.31,Any,Any,Renaming backup profile name throws an exception
456,109418,https://bugs.mysql.com/bug.php?id=109418,2022-12-17 04:00:00,2024-10-07 20:30:00,Connector / J,Closed(351 days),S2,8.0.31,Any,Any,batch insert  threw an unexpected exception
457,109415,https://bugs.mysql.com/bug.php?id=109415,2022-12-16 20:17:00,2023-02-23 22:12:00,MySQL Server: Security: Privileges,Closed(943 days),S3,8.0.31,Any,Any,CREATE USER IF NOT EXISTS adds a password history entry
458,109401,https://bugs.mysql.com/bug.php?id=109401,2022-12-16 02:01:00,2024-08-27 15:37:00,MySQL Server: Row Based Replication ( RBR ),Closed(392 days),S3,"8.0.31, 5.7.40, 8.0.33",Any,Any,Rows_query_log_event truncates query due to treating query as C string
459,109377,https://bugs.mysql.com/bug.php?id=109377,2022-12-14 13:36:00,2023-06-01 07:25:00,Connector / J,Closed(918 days),S3,"8.0.30, 8.0.31",Any,Any,rewriteBatchedStatements doesn't work when parenthesis are found in values
460,109366,https://bugs.mysql.com/bug.php?id=109366,2022-12-13 15:06:00,2025-07-04 20:41:00,Connector / Python,Closed(81 days),S2,8.0.30+,Any,Any,MySQL Python Connector doesn't work with ssh in the same process
461,109361,https://bugs.mysql.com/bug.php?id=109361,2022-12-13 12:06:00,2023-01-11 01:03:00,MySQL Server: Optimizer,Closed(986 days),S2,8.0.29,Any,Any,MySQL 8.0.29+ is slower than MySQL 8.0.28 with queries using JOINS
462,109340,https://bugs.mysql.com/bug.php?id=109340,2022-12-12 13:30:00,2022-12-12 14:09:00,MySQL Server,Closed(1016 days),S1,8.0.31,Windows (Windows Server 2016 Standard),x86 (Intel Xeon CPU E5-2670 (2 processors)),mysql 8.0.31 crashes randomly and stops the server
463,109339,https://bugs.mysql.com/bug.php?id=109339,2022-12-12 12:44:00,2025-07-16 18:29:00,Connector / J,Closed(84 days),S3,"8.0.22, 8.0.31",Any,Any,Failed to insert bignums due to overflow
464,109313,https://bugs.mysql.com/bug.php?id=109313,2022-12-08 07:33:00,2023-03-14 19:09:00,Shell Dump & Load,Closed(957 days),S2,8.0.31,CentOS (7.9),x86,Can't restore loadDump with deferTableIndexes=all by MySQL Error 1061
465,109305,https://bugs.mysql.com/bug.php?id=109305,2022-12-07 13:43:00,2022-12-07 14:11:00,Connector / C++,Closed(1021 days),S3,8.0,Windows,x86,I downloaded builded binaries from official site mysql and added to my C++ proj
466,109252,https://bugs.mysql.com/bug.php?id=109252,2022-11-30 17:26:00,2024-02-27 17:14:00,MySQL Server: Optimizer,Closed(629 days),S2,8.0.31,Ubuntu,x86,Incorrect result with VALUES in a correlated LATERAL subquery
467,109243,https://bugs.mysql.com/bug.php?id=109243,2022-11-30 06:40:00,2023-03-22 17:10:00,Connector / J,Closed(916 days),S1,"8.0.27,8.028,8.0.29, 8.0.31",Any,Any,Judge whether the returned result set of the sql statement is incorrect
468,109242,https://bugs.mysql.com/bug.php?id=109242,2022-11-29 21:04:00,2023-10-26 05:12:00,MySQL Server: DDL,Closed(719 days),S2,8.0.31,Ubuntu,x86 (x86_64),CREATE FULLTEXT INDEX fails with ERROR 1062 (23000): Duplicate entry 'NULL-NULL'
469,109223,https://bugs.mysql.com/bug.php?id=109223,2022-11-28 15:03:00,2022-12-02 04:27:00,MySQL Workbench,Closed(1027 days),S3,,Ubuntu (22.10),Any,mysql-workbench not present in kinetic repository
470,109211,https://bugs.mysql.com/bug.php?id=109211,2022-11-27 07:56:00,2023-01-24 22:40:00,MySQL Server: Optimizer,Closed(973 days),S1,"8.0.30, 8.0.31",Linux,Any,Incorrect Left Outer Join Execution
471,109189,https://bugs.mysql.com/bug.php?id=109189,2022-11-24 07:11:00,2023-02-15 22:35:00,Connector for Node.js,Closed(951 days),S3,8.0.31,Any,Any,Typescript Session.Schema.Table.select(): declaration is missing arguments
472,109171,https://bugs.mysql.com/bug.php?id=109171,2022-11-22 19:52:00,2023-06-07 22:40:00,MySQL Server: Clone Plugin,Closed(845 days),S2,"fb-mysql-8.0.28, 8.0.31",Any,Any,P_S.clone_status.gtid_executed does not have enough column size
473,109169,https://bugs.mysql.com/bug.php?id=109169,2022-11-22 19:21:00,2023-04-18 09:40:00,MySQL Server: Optimizer,Closed(889 days),S5,8.0.31,Any,Any,Index merge should favour union over sort_union
474,109154,https://bugs.mysql.com/bug.php?id=109154,2022-11-21 14:52:00,2023-04-21 08:34:00,MySQL Server: Replication,Closed(970 days),S3,8.0,Any,Any,Contribution: Fix incorrect suggested commands to start slave in error logs ...
475,109145,https://bugs.mysql.com/bug.php?id=109145,2022-11-19 08:28:00,2024-02-13 08:11:00,MySQL Server: Optimizer,Closed(756 days),S1,8.0.31,Linux,Any,Using index for skip scan cause incorrect result
476,109131,https://bugs.mysql.com/bug.php?id=109131,2022-11-17 22:04:00,2024-04-18 05:30:00,Connector / J,Closed(523 days),S3,8.0.31,Any,Any,Wrong default clobCharacterEncoding
477,109115,https://bugs.mysql.com/bug.php?id=109115,2022-11-16 20:53:00,2022-11-23 12:53:00,MySQL Server: Prepared statements,Closed(1035 days),S3,8.0.23,Ubuntu,Any,prepared VALUES ROW in subquery with only string params returns empty
478,109032,https://bugs.mysql.com/bug.php?id=109032,2022-11-09 03:18:00,2022-12-06 01:20:00,MySQL Server: Optimizer,Closed(1022 days),S1,"8.0.30, 8.0.31",Any,Any,Result set is incorrect.
479,109024,https://bugs.mysql.com/bug.php?id=109024,2022-11-08 07:49:00,2022-11-09 14:50:00,Connector / Python,Closed(1049 days),S2,8.0,Any,Any,MySQL Connector/Python  Invalid executemany function
480,109013,https://bugs.mysql.com/bug.php?id=109013,2022-11-06 19:57:00,2023-04-04 17:27:00,Connector / J,Closed(915 days),S2,"8.0.29, 8.0.31",Any,Any,useServerPrepStmts and useLocalTransactionState could cause rollback failure
481,108991,https://bugs.mysql.com/bug.php?id=108991,2022-11-03 15:06:00,2022-11-23 12:55:00,Shell Dump & Load,Closed(1036 days),S3,8.0.31,Any,Any,util.loadDump fails if table has more than one FULLTEXT index
482,108975,https://bugs.mysql.com/bug.php?id=108975,2022-11-02 20:04:00,2022-11-15 13:18:00,Shell Dump & Load,Closed(1043 days),S3,8.0,Any,Any,loadDump fails on view that references a view whose definer does not yet exist
483,108974,https://bugs.mysql.com/bug.php?id=108974,2022-11-02 18:27:00,2023-06-20 10:52:00,Shell Dump & Load,Closed(900 days),S2,8.0,Any,Any,dumpInstance retains but comments out some grants
484,108971,https://bugs.mysql.com/bug.php?id=108971,2022-11-02 14:42:00,2025-09-09 09:55:00,Connector / Python,Closed(1055 days),S3,8.0,Any,Any,Contribution: make protobuf dependency include version 3.20.3
485,108963,https://bugs.mysql.com/bug.php?id=108963,2022-11-02 07:40:00,2024-07-25 15:02:00,MySQL Server: Optimizer,Closed(845 days),S5,"8.0.31, 5.7.40",Any,Any,Range analysis for IN list has O(n^2) runtime complexity
486,108947,https://bugs.mysql.com/bug.php?id=108947,2022-11-01 04:40:00,2022-11-22 13:22:00,MySQL Server: Compiling,Closed(1037 days),S3,8.0.31,Any,Any,mysql-8.0.31: build fails if building user cannot access mysqld's tempdir
487,108925,https://bugs.mysql.com/bug.php?id=108925,2022-10-29 02:23:00,2023-04-19 10:58:00,MySQL Server: InnoDB storage engine,Closed(888 days),S2,"MySQL 8.0.30, 8.0.31",Any,Any,applying a updated online log may access out-of-bounds memory
488,108911,https://bugs.mysql.com/bug.php?id=108911,2022-10-28 11:26:00,2022-12-06 10:27:00,Connector / Python,Closed(1043 days),S3,8.0.31,Windows (11 Pro Insider Preview 22623.870),Other (x64),Connector/Python 8.0.31 installation fails if Python version is 3.11.0
489,108905,https://bugs.mysql.com/bug.php?id=108905,2022-10-28 00:02:00,2023-03-08 11:07:00,Shell AdminAPI InnoDB Cluster / ReplicaSet,Closed(930 days),S2,,Any,Any,offline-mode is persisted when doing dba.rebootClusterFromCompleteOutage
490,108861,https://bugs.mysql.com/bug.php?id=108861,2022-10-24 15:13:00,2023-01-25 16:23:00,Shell AdminAPI InnoDB Cluster / ReplicaSet,Closed(1058 days),S3,8.0,Any,Any,Contribution: Fix typo in dba.upgradeMetadata() error message
491,108839,https://bugs.mysql.com/bug.php?id=108839,2022-10-20 20:43:00,2022-11-29 09:43:00,Shell General / Core Client,Closed(1029 days),S3,8.0.31,Any,Any,The 'util' global object is not available via Shell command line integration
492,108837,https://bugs.mysql.com/bug.php?id=108837,2022-10-20 14:39:00,2022-11-15 20:28:00,Connector / NET,Closed(1043 days),S3,8.0,Any,Any,Contribution: Fix unloading issues
493,108814,https://bugs.mysql.com/bug.php?id=108814,2022-10-18 19:52:00,2022-12-20 20:52:00,Connector / J,Closed(1008 days),S3,8.0,Any,Any,Contribution: Fix name of relocation POM file
494,108791,https://bugs.mysql.com/bug.php?id=108791,2022-10-15 22:05:00,2022-10-19 06:42:00,MySQL Workbench: SQL Editor,Closed(1070 days),S3,8.0.26,MacOS (unknown),x86,Unable to scroll in form edit mode
495,108782,https://bugs.mysql.com/bug.php?id=108782,2022-10-14 11:01:00,2023-08-17 13:26:00,MySQL Server: Data Types,Closed(768 days),S2,5.7,Any,Any,Mysql str_to_date can correct convert for '2022-11-30'
496,108761,https://bugs.mysql.com/bug.php?id=108761,2022-10-13 10:23:00,2025-07-03 20:15:00,Connector / Python,Closed(82 days),S2,">8.0.28, 8.0.31",Ubuntu (only tested on Ubuntu 18.04),Any,Freezes on connection via sshtunnel
497,108759,https://bugs.mysql.com/bug.php?id=108759,2022-10-13 07:08:00,2023-02-01 11:22:00,Shell AdminAPI InnoDB Cluster / ReplicaSet,Closed(965 days),S3,"8.0.29, 8.0.30",Ubuntu (20.04),x86,"InnoDB multi-primary auto_increment_increment, auto_increment_offset bug"
498,108756,https://bugs.mysql.com/bug.php?id=108756,2022-10-12 12:48:00,2023-06-07 14:30:00,Connector / NET,Closed(839 days),S3,8.0.31,Windows (10),Any,Can't insert negative number using prepared statement with MySqlDbType.Int24
499,108750,https://bugs.mysql.com/bug.php?id=108750,2022-10-12 10:08:00,2022-10-14 15:56:00,MySQL Server: Performance Schema,Closed(1075 days),S3,8.0.26,Any,Any,TABLE ACCESS SERVICE INDEX READ MAP ISSUES
500,108733,https://bugs.mysql.com/bug.php?id=108733,2022-10-11 07:39:00,2023-01-25 19:31:00,Connector / Python,Closed(1023 days),S3,8.0.29/8.0.30,Any,Any,python connector will return a date object when time is 00:00:00
501,108731,https://bugs.mysql.com/bug.php?id=108731,2022-10-11 05:07:00,2024-07-02 19:34:00,MySQL Server: InnoDB storage engine,Closed(644 days),S5,8.0.30,Any,Any,just need to maintain FIL_PAGE_LSN once during recvory
502,108717,https://bugs.mysql.com/bug.php?id=108717,2022-10-09 13:39:00,2023-01-10 23:06:00,MySQL Operator,Closed(987 days),S3,,Any,Any,MySQL Operator - documentation installing using kubectl fails
503,108715,https://bugs.mysql.com/bug.php?id=108715,2022-10-08 20:11:00,2024-11-14 17:36:00,MySQL Server: Information schema,Closed(313 days),S3,"5.7, 8.0",Any,Any,Mysql_field returns NUM_FLAG (32768) for grouped by columns
504,108652,https://bugs.mysql.com/bug.php?id=108652,2022-09-29 14:55:00,2023-01-25 16:21:00,Connector / C++,Closed(1076 days),S3,,Any,Any,Contribution: Moving a local object in a return statement prevents copy eli ...
505,108643,https://bugs.mysql.com/bug.php?id=108643,2022-09-29 09:05:00,2023-04-04 17:29:00,Connector / J,Closed(915 days),S1,"all, 8.0.30",Any,Any,Commit statement not effect when two params turns on
506,108618,https://bugs.mysql.com/bug.php?id=108618,2022-09-26 16:58:00,2022-10-20 19:58:00,MySQL Cluster: Cluster (NDB) storage engine,Closed(1069 days),S3,8.0.30,MacOS (12.6),ARM (Apple M1 Pro),ClusterJ test case crash at end
507,108545,https://bugs.mysql.com/bug.php?id=108545,2022-09-19 21:19:00,2022-10-18 11:35:00,MySQL Server: Prepared statements,Closed(1072 days),S3,8.0,Any,Any,Erroneous MYSQL_TYPE_INVALID data type
508,108502,https://bugs.mysql.com/bug.php?id=108502,2022-09-15 23:16:00,2023-09-06 08:01:00,MySQL Server: Performance Schema,Closed(748 days),S2,8.0.21,Any,Any,Return value of my_thread_get_THR_PFS() not get checked
